ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (g)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,EAN,Marques
1796,simple,2015934779845,,"Ramz Silver Lattafa",1,0,visible,"<span style=""font-family: Poppins,;"">Notes de Tête : Anis étoilé, Pamplemousse et Mandarines.</span>
\n<span style=""font-family: Poppins,;"">Notes de Coeur :Héliotrope, Cèdre, fleurs d’olivier et Cyprès.</span>
\n<span style=""font-family: Poppins,;"">Notes de Fond : Vanille, Fèves de Tonka et Bois de gaïac.</span>","Ramz Silver Lattafa de <b style=""font-weight: bold; line-height: inherit;"">Lattafa Perfumes</b> est un parfum Ambre Vanillé pour homme et femme. <b style=""font-weight: bold; line-height: inherit;"">Ramz Lattafa Silver</b> a été lancé en 2021. Les notes de tête sont Poire, Lavande, Menthe et Bergamote; les notes de coeur sont Cardamome et Sauge; les notes de fond sont Vanille, Ambre, Musc et Patchouli",,,none,taux-zero,1,,,0,0,750,,,,0,,,35,"PARFUMS ALHAMBRA, PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA > PARFUMS HOMME LATTAFA, PARFUMS LATTAFA, PARFUMS LATTAFA > PARFUMS MIXTE LATTAFA",,,https://www.frenchavenue.fr/wp-content/uploads/2024/01/pdt2_7_2_2_1_700x700_auc6291106066722_rw_eau-de-parfum-ramz-lattafa-silver-by-lattafa-100ml-1.jpg,,,,,,,,,0,3000000017968,
1797,simple,2055039649971,,"Ramz Gold 100ml – Lattafa mixte",1,0,visible,"<ul class=""a-unordered-list a-vertical a-spacing-none"" style=""margin: 0px0px0px1.8rem; padding: 0px;"">
\n 	<li class=""a-spacing-mini"" style=""margin: 0px;""><span class=""a-list-item"">Notes de tête : bergamout, pomme et ananas. Notes de cœur : bouleau, patchouli et jasmin. Notes de fond : musc, mousse de chêne, cuir et ambre</span></li>
\n</ul>","<b style=""font-weight: bold; line-height: inherit;"">Ramz GOLD</b> de <b style=""font-weight: bold; line-height: inherit;"">Lattafa Perfumes</b> est un parfum pour homme et femme. Les notes de tête sont Pomme, Poire, Pêche, Orange douce et Cassis; les notes de coeur sont Jasmin Sambac, Rose et Fleur d'oranger; les notes de fond sont Bois de santal, Musc blanc, Patchouli et Vanille.",,,none,taux-zero,1,,,0,0,750,,,,0,,,35,"PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA > PARFUMS HOMME LATTAFA, PARFUMS LATTAFA, PARFUMS LATTAFA > PARFUMS MIXTE LATTAFA",,,https://www.frenchavenue.fr/wp-content/uploads/2023/12/ramz-lattafa-eau-de-parfum-jpg.webp,,,,,,,,,0,3000000017975,
1798,simple,2076844138658,,"Raghba 100 ml – Lattafa-Mixte",1,0,visible,"<strong>Notes olfactives :</strong>
\n
\n<strong>Notes de tête</strong> : Vanille et oud.
\n<strong>Notes de coeur</strong> : Bois de santal et encens.
\n<strong>Notes de fond</strong> : Sucrée.","<h1><span style=""font-size: 75%;"">Raghba de Lattafa Perfumes est un parfum Ambre Vanillé pour homme et femme</span></h1>",,,none,taux-zero,1,,,0,0,750,,,,0,,,35,"PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA > PARFUMS HOMME LATTAFA, PARFUMS LATTAFA, PARFUMS LATTAFA > PARFUMS MIXTE LATTAFA",,,https://www.frenchavenue.fr/wp-content/uploads/2023/12/1000029948-1-jpg.webp,,,,,,,,,0,3000000017982,
1799,simple,2078465651431,,"Khamrah Lattafa",1,0,visible,"<h1><span style=""font-size: 75%;""><strong>Khamrah – Lattafa | Une symphonie orientale envoûtante</strong></span></h1>
\n<em>L’élégance d’un parfum gourmand et épicé, aux accents orientaux et chaleureux.</em>
\n
\nKhamrah – Lattafa est un parfum mixte, intense et sucré, aux notes de cannelle, de datte et de vanille. Une fragrance orientale irrésistible à découvrir sur FrenchAvenue.fr.","<h1><span style=""font-size: 75%;""><strong>Khamrah – Lattafa | Une symphonie orientale envoûtante</strong></span></h1>
\n<em>L’élégance d’un parfum gourmand et épicé, aux accents orientaux et chaleureux.</em>
\n
\nKhamrah – Lattafa est un parfum mixte, intense et sucré, aux notes de cannelle, de datte et de vanille. Une fragrance orientale irrésistible à découvrir sur FrenchAvenue.fr.
\n
\n<hr />
\n
\n<h2><strong>Khamrah – L'essence de la séduction orientale</strong></h2>
\n<strong>Khamrah – Lattafa</strong> est une invitation sensorielle au cœur des terres orientales.
\nCe parfum mixte s’adresse aux amoureux des senteurs chaudes, épicées et enveloppantes.
\nIl marie subtilement la douceur des fruits secs à l’intensité des épices, pour un sillage captivant, presque hypnotique.
\nC’est un parfum affirmé, généreux, et profondément élégant.
\n
\n<hr />
\n
\n<h2><strong>Pyramide olfactive : un équilibre somptueux</strong></h2>
\n<h3><strong>Notes de tête</strong></h3>
\nCannelle, muscade, bergamote
\nUn départ épicé et vif, qui évoque les bazars orientaux et les souvenirs chaleureux.
\n<h3><strong>Notes de cœur</strong></h3>
\nDattes, praline, tubéreuse, mahonial
\nUn cœur gourmand, sucré et exotique, comme une caresse parfumée sur la peau.
\n<h3><strong>Notes de fond</strong></h3>
\nVanille, fève tonka, myrrhe, ambroxan, bois d’Akigala, benjoin
\nUn fond résineux, suave et persistant, à la fois sensuel et mystique.
\n
\n<hr />
\n
\n<h2><strong>Pourquoi choisir Khamrah – Lattafa ?</strong></h2>
\n<ul>
\n 	<li>Parfum mixte aux accents orientaux, sucrés et épicés</li>
\n 	<li>Idéal pour les saisons fraîches et les soirées</li>
\n 	<li>Excellente tenue et projection</li>
\n 	<li>Flacon luxueux, aux détails orientaux affirmés</li>
\n</ul>
\n
\n<hr />
\n
\n<h2><strong>Khamrah – L’équilibre entre force et douceur</strong></h2>
\n<strong>Khamrah – Lattafa</strong> incarne la dualité parfaite entre intensité et tendresse.
\nIl est à la fois chaleureux et sophistiqué, audacieux et raffiné.
\nChaque vaporisation est une déclaration, un choix de se démarquer, d’envelopper l’espace d’un sillage charismatique et addictif.
\n
\n<hr />
\n
\n<h2><strong>Commandez Khamrah – Lattafa sur FrenchAvenue.fr</strong></h2>
\nRetrouvez <strong>Khamrah – Lattafa</strong> sur <em>FrenchAvenue.fr</em>, et laissez-vous emporter par une fragrance intense et envoûtante.
\nLivraison rapide, service client réactif, et sélection des meilleurs parfums orientaux vous attendent.",,,none,taux-zero,1,4,,0,0,750,,,,0,,,"39,80","PARFUMS LATTAFA, PARFUMS MIXTE, PARFUMS LATTAFA > PARFUMS MIXTE LATTAFA",,,"https://www.frenchavenue.fr/wp-content/uploads/2024/01/Khamrah.jpeg, https://www.frenchavenue.fr/wp-content/uploads/2024/01/lattafa-khamrah.jpeg",,,,,,,,,0,3000000017999,
1800,simple,2098453427671,,"Qaa'ed de Lattafa",1,0,visible,"<strong>Notes olfactives :</strong>
\nLes notes de tête sont Cannelle, Cardamome et Bergamote; les notes de coeur sont Safran, Bois de santal, Cèdre et Œillet; les notes de fond sont Vanille, Oud, Cuir et Ambre.
\n
\n<strong>Genre</strong> : Mixte.","<b style=""font-weight: bold; line-height: inherit;"">Qaa'ed</b> de <b style=""font-weight: bold; line-height: inherit;"">Lattafa Perfumes</b> est un parfum Ambre pour homme et femme. <b style=""font-weight: bold; line-height: inherit;"">Qaa'ed</b> a été lancé en 2018.",,,none,taux-zero,1,,,0,0,750,,,,0,,,35,"PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA > PARFUMS HOMME LATTAFA, PARFUMS LATTAFA, PARFUMS LATTAFA > PARFUMS MIXTE LATTAFA",,,https://www.frenchavenue.fr/wp-content/uploads/2023/12/qaaed-2-1-jpg.webp,,,,,,,,,0,3000000018002,
1801,simple,2053966445741,,"I am white Ana Abiyedh Rouge 60ml – Lattafa",1,0,visible,"<strong>Notes olfactives :</strong>
\n
\n<strong>Notes de tête</strong> : Nashi Pear, Kumquat et Bergamote
\n<strong>Notes de cœur</strong> : Géranium, Cardamome et Coriandre
\n<strong>Notes de fond</strong> : Ambre gris, Daim et Vétiver de Tahiti.
\n
\n<strong>Genre</strong> : Mixte","I am white Ana Abiyedh Rouge 60ml – Lattafa",,,none,taux-zero,1,,,0,0,750,,,,0,,,35,"PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA, PARFUMS MIXTE",,,https://www.frenchavenue.fr/wp-content/uploads/2024/01/Capture-decran-2024-03-19-061849.png,,,,,,,,,0,3000000018019,
1802,simple,2054522931043,,"Fakhar Black Eau de Parfum 100 ml",1,0,visible,"<strong>Notes olfactives :</strong>
\n
\n<strong>Notes olfactives</strong> : bergamote, pomme verte, épices, horoscope, lavande, rose, fève tonka, musc, mousse de chene, ambroxan, bois de cèdre
\n
\nGenre : Masculin.","<b style=""font-weight: bold; line-height: inherit;"">Fakhar Black</b> de <b style=""font-weight: bold; line-height: inherit;"">Lattafa Perfumes</b> est un parfum Ambre pour homme. C'est un nouveau parfum. <b style=""font-weight: bold; line-height: inherit;"">Fakhar Black</b> a été lancé en 2022. Les notes de tête sont Pomme, Bergamote et Gingembre; les notes de coeur sont Lavande, Sauge, Baies de genévrier et Géranium; les notes de fond sont Fève de tonka, Amberwood, Cèdre et Vétiver.",,,none,taux-zero,1,,,0,0,750,,,,0,,,35,"PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA > PARFUMS HOMME LATTAFA, PARFUMS LATTAFA, PARFUMS LATTAFA > PARFUMS MIXTE LATTAFA",,,https://www.frenchavenue.fr/wp-content/uploads/2023/12/fakhar-silver-lattafa-eau-de-parfum-mixte-jpg.webp,,,,,,,,,0,3000000018026,
1803,simple,2050703513183,,"Eau de Parfum Fakhar Lattafa Rose Gold 100ml de Lattafa",1,0,visible,"Notes de tête: Rose, Jasmin, Pêche, Poire, Pomme
\n
\nNotes de cœur: Ylang-Ylang, Patchouli, Agrume, Fleur d’Oranger
\n
\nNotes de fond: Vétiver, Boisé, Vanille, Floral","Le parfum <strong>Fakhar Lattafa Rose Gold</strong> est une fragrance captivante qui marie la douceur florale à la chaleur orientale. Lancé en 2022, il présente des notes de tête telles que la rose, le jasmin, la pêche, la poire, et des notes de cœur comprenant le ylang-ylang, le patchouli, les agrumes et les fleurs. Ce parfum offre une expérience olfactive sophistiquée avec des accords de bois de oud, labdanum, patchouli, santal, rose et musc, créant ainsi une fragrance profonde et chaleureuse",,,none,taux-zero,1,,,0,0,750,,,,1,,,35,"PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA",,,"https://www.frenchavenue.fr/wp-content/uploads/2024/01/Capture-decran-2024-03-31-180211.png, https://www.frenchavenue.fr/wp-content/uploads/2023/12/1000029827-jpg.webp",,,,,,,,,0,3000000018033,
1804,simple,2028345322920,,"Ejaazi - Mixte",1,0,visible,"Notes de tête : Orange, myrte, agrumes, lavande, cardamome
\n
\nNotes de cœur : Muguet, feuille de cannelle, patchouli, poivre
\n
\nNotes de fond : Mousse de chêne, bois de cèdre, accords boisés, vétiver, ambre","<div class=""primary_block row"">
\n<div class=""pb-center-column col-xs-12 col-sm-7"">
\n<div id=""short_description_block"">
\n<div id=""short_description_content"" class=""rte align_justify"">
\n
\nEjaazi - Mixte parfum de Lattafa est un parfum de fougère aromatique, mais avec un penchant très fort pour le genre chypré, épicé, oriental.
\n
\n</div>
\n</div>
\n</div>
\n</div>
\n&nbsp;",,,none,taux-zero,1,,,0,0,750,,,,0,,,35,"PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA > PARFUMS HOMME LATTAFA, PARFUMS LATTAFA, PARFUMS MIXTE, PARFUMS LATTAFA > PARFUMS MIXTE LATTAFA",,,https://www.frenchavenue.fr/wp-content/uploads/2023/12/1000029282-1-jpg.webp,,,,,,,,,0,3000000018040,
1806,simple,2057934621113,,"Maahir Lattafa- eau de toilette -100ml",1,0,visible,"Les notes de tête sont Fruits rouges, Pêche et Bergamote;
\n
\nles notes de coeur sont Jasmin, Pivoine et Lys rouge;
\n
\nles notes de fond sont Bois de santal, Fleur de vanille et Musc..","<b>Maahir</b> Lattafa est un parfum Ambre Floral pour homme et femme. <b>Maahir</b> a été lancé en 2020. Les notes de tête sont Fruits rouges, Pêche et Bergamote; les notes de coeur sont Jasmin, Pivoine et Lys rouge; les notes de fond sont Bois de santal, Fleur de vanille et Musc.",,,none,taux-zero,1,2,,0,0,750,,,,0,,,35,"PARFUMS LATTAFA > PARFUMS FEMME LATTAFA, PARFUMS LATTAFA > PARFUMS HOMME LATTAFA, PARFUMS LATTAFA, PARFUMS MIXTE, PARFUMS LATTAFA > PARFUMS MIXTE LATTAFA",,,https://www.frenchavenue.fr/wp-content/uploads/2023/12/Maahir-Lattafa-1-jpeg.webp,,,,,,,,,0,3000000018064,
